x,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5
-3.153333333333333321e+00,5.578124492575983560e-12,-2.990683924608186778e-12,-1.120679010910400415e-11,2.324186459161128263e-11,5.098700200487349400e-11,-1.119961374266823141e-10
-3.146666666666666501e+00,6.742982874462715955e-12,-3.614751393773950996e-12,-1.353426962264801455e-11,2.805139087652615327e-11,6.148472077368887289e-11,-1.349241834995534250e-10
-3.139999999999999680e+00,8.143909221987371997e-12,-4.365189561202778096e-12,-1.633065230827425072e-11,3.382608225712186965e-11,7.407762376723035724e-11,-1.624002422435888450e-10
-3.133333333333333304e+00,9.827241363284472584e-12,-5.266782148357050808e-12,-1.968739106347858495e-11,4.075338287505409330e-11,8.917020650787222656e-11,-1.952964887771279158e-10
-3.126666666666666483e+00,1.184810708375039637e-11,-6.349009701658816664e-12,-2.371316566123160854e-11,4.905588186886818591e-11,1.072423140395259087e-10,-2.346463773372461187e-10
-3.120000000000000107e+00,1.427203118519847456e-11,-7.646907409243727887e-12,-2.853700810699024235e-11,5.899765688981922044e-11,1.288626437402512605e-10,-2.816733085087228411e-10
-3.113333333333333286e+00,1.717682482626429777e-11,-9.202073418488108016e-12,-3.431197227026356801e-11,7.089171602752731273e-11,1.547045674928261174e-10,-3.378241758494328204e-10
-3.106666666666666465e+00,2.065480459431181076e-11,-1.106385291966728496e-11,-4.121943839873113704e-11,8.510871982436188587e-11,1.855646533595300670e-10,-4.048085833948973543e-10
-3.100000000000000089e+00,2.481539635486201393e-11,-1.329072729948200229e-11,-4.947415746715093633e-11,1.020871936061007949e-10,2.223843260179603545e-10,-4.846446471238368932e-10
-3.093333333333333268e+00,2.978818767094803920e-11,-1.595194231723299671e-11,-5.933015680234685708e-11,1.223454731366079090e-10,2.662751729785532318e-10,-5.797124326138579856e-10
-3.086666666666666448e+00,3.572650264532511566e-11,-1.912941460274015937e-11,-7.108764735952935088e-11,1.464956642018350318e-10,3.185484812015581143e-10,-6.928162401628693738e-10
-3.080000000000000071e+00,4.281158459820553087e-11,-2.291996191668109296e-11,-8.510109474294217427e-11,1.752599398038681243e-10,3.807496774889242728e-10,-8.272571302356301837e-10
-3.073333333333333250e+00,5.125748526134908604e-11,-2.743790966159176131e-11,-1.017886409474977113e-10,2.094895479427099257e-10,4.546984474362774723e-10,-9.869172891723998667e-10
-3.066666666666666430e+00,6.131677438209937248e-11,-3.281813421029879771e-11,-1.216430922780988530e-10,2.501869593183613449e-10,5.425354234652125503e-10,-1.176358070976468044e-09
-3.060000000000000053e+00,7.328720105462999926e-11,-3.921961286890615233e-11,-1.452447214639393802e-10,2.985316486378144879e-10,6.467764643915043148e-10,-1.400933819376660159e-09
-3.053333333333333233e+00,8.751945803017112447e-11,-4.682956087223023816e-11,-1.732761691702061373e-10,3.559100766143271181e-10,7.703756992186466983e-10,-1.666923879365780343e-09
-3.046666666666666856e+00,1.044262230406705892e-10,-5.586824789908963277e-11,-2.065397725296261324e-10,4.239505233799154137e-10,9.167986787229659910e-10,-1.981685553644294153e-09
-3.040000000000000036e+00,1.244926771801741179e-10,-6.659460039336632736e-11,-2.459776966551555582e-10,5.045635192165333269e-10,1.090107172532872613e-09,-2.353831151966903853e-09
-3.033333333333333215e+00,1.482887300503772537e-10,-7.931271170887179014e-11,-2.926953001182127778e-10,5.999887267217511334e-10,1.295057369716428157e-09,-2.793432725983460238e-09
-3.026666666666666394e+00,1.764832151677664410e-10,-9.437940001337351112e-11,-3.479882279396864777e-10,7.128492514063772782e-10,1.537213490623183341e-09,-3.312258585093227908e-09
-3.020000000000000018e+00,2.098603575827466272e-10,-1.122129742711394429e-10,-4.133737966983725488e-10,8.462144971077335242e-10,1.823079100484261100e-09,-3.924046257082211996e-09
-3.013333333333333197e+00,2.493388593721454386e-10,-1.333033917885394071e-10,-4.906273169779120145e-10,1.003672840533111230e-09,2.160248735060638243e-09,-4.644817198619182472e-09
-3.006666666666666821e+00,2.959939983007841427e-10,-1.582240171045413699e-10,-5.818240897336390372e-10,1.189415577989936192e-09,2.557582809878038917e-09,-5.493239283588553975e-09
-3.000000000000000000e+00,3.510831912471300610e-10,-1.876452218284579541e-10,-6.893879165823212919e-10,1.408333799427404701e-09,3.025409192204770213e-09,-6.491043911157920301e-09
-2.993333333333333179e+00,4.160755377782125299e-10,-2.223500988063212419e-10,-8.161470809630996624e-10,1.666130073095714360e-09,3.575755274338122136e-09,-7.663505490789340107e-09
-2.986666666666666359e+00,4.926859314582738700e-10,-2.632526022186185481e-10,-9.653988892085426438e-10,1.969447081507094411e-09,4.222614903947606637e-09,-9.039992089513650401e-09
-2.979999999999999982e+00,5.829144081037900915e-10,-3.114184684128891835e-10,-1.140984009595943777e-09,2.326015639364949676e-09,4.982255108769556070e-09,-1.065459718021900211e-08
-2.973333333333333162e+00,6.890914923854406816e-10,-3.680893210502459307e-10,-1.347372015405847329e-09,2.744824850472876341e-09,5.873568206106575528e-09,-1.254686372218422403e-08
-2.966666666666666785e+00,8.139304081778936470e-10,-4.347104191544001955e-10,-1.589759727088954902e-09,3.236317527485989882e-09,6.918475620319187706e-09,-1.476261325163370276e-08
-2.959999999999999964e+00,9.605871352562978240e-10,-5.129625686239824942e-10,-1.874184161250522300e-09,3.812614410279587181e-09,8.142390552536857693e-09,-1.735489427711183630e-08
