x,V,psi_0,density_0,psi_1,density_1,psi_2,density_2,psi_3,density_3,psi_4,density_4,psi_5,density_5
-3.759999999999999787e+00,8.620426687999997739e+02,3.484573461646154225e-21,1.214225220960866275e-41,-1.886421032121486945e-21,3.558584310430296364e-42,-7.515850887787866174e-21,5.648801456746165599e-41,1.633235424361640526e-20,2.667457951389747849e-40,3.823057482855957979e-20,1.461576851722093357e-39,-9.029817307842569375e-20,8.153760061301322945e-39
-3.756000000000000227e+00,8.580984999564801683e+02,4.117053070898134895e-21,1.695012598859176405e-41,-2.228704331824949710e-21,4.967122998695295335e-42,-8.876594668777998425e-21,7.879393291377798162e-41,1.928440462255273273e-20,3.718882616463332237e-40,4.512471854127606465e-20,2.036240223429383865e-39,-1.065395307013886171e-19,1.135067160207212735e-38
-3.751999999999999780e+00,8.541675543500797403e+02,4.862488041457887708e-21,2.364378995332096290e-41,-2.632094471474894170e-21,6.927921306768702562e-42,-1.047971524555622767e-20,1.098244316279436151e-40,2.276136414843390655e-20,5.180796978976123558e-40,5.324176465178962005e-20,2.834685503236554545e-39,-1.256540407587300784e-19,1.578893795899659880e-38
-3.748000000000000220e+00,8.502498031500801972e+02,5.740715756677862537e-21,3.295581739896948466e-41,-3.107319091511625079e-21,9.655431936472630422e-42,-1.236766204322547973e-20,1.529590644154402484e-40,2.685499775153815204e-20,7.211909042351192300e-40,6.279496270346063320e-20,3.943207340929012229e-39,-1.481413078161269031e-19,2.194584708147246127e-38
-3.743999999999999773e+00,8.463452175564797244e+02,6.774997428380437458e-21,4.590059015456154061e-41,-3.666956639115573644e-21,1.344657099315378448e-41,-1.459018993324239483e-20,2.128736422880877258e-40,3.167283291102318584e-20,1.003168344609593420e-39,7.403409560351243071e-20,5.481047311830018899e-39,-1.745862741111943540e-19,3.048036710802908942e-38
-3.740000000000000213e+00,8.424537688000003754e+02,7.992598458478749241e-21,6.388163011847687545e-41,-4.325749962875826424e-21,1.871211274132021407e-41,-1.720559381380600874e-20,2.960324584856795766e-40,3.734081813308798927e-20,1.394336698848352856e-39,8.725162418757910620e-20,7.612845923370539489e-39,-2.056735279378682415e-19,4.230160009440906809e-38
-3.735999999999999766e+00,8.385754281420797724e+02,9.425465344769733533e-21,8.883939696545523045e-41,-5.100972051869302579e-21,2.601991587395172130e-41,-2.028214791244277109e-20,4.113655239422066612e-40,4.400642134305519301e-20,1.936565119422503729e-39,1.027898455963398835e-19,1.056575235771939327e-38,-2.422039650960623345e-19,5.866276070825458004e-38
-3.732000000000000206e+00,8.347101668748802012e+02,1.111101487957819159e-20,1.234546516542079701e-40,-6.012852421272749144e-21,3.615439424000556066e-41,-2.389978309406011938e-20,5.711996319431219048e-40,5.184223955351862062e-20,2.687617801924410618e-39,1.210492294172252868e-19,1.465291594250403844e-38,-2.851141826285779668e-19,8.129009713596210962e-38
-3.727999999999999758e+00,8.308579563212796302e+02,1.309305390683111227e-20,1.714280606071854431e-40,-7.085074004753672791e-21,5.019827365283625010e-41,-2.815204075812181217e-20,7.925373988469517481e-40,6.105020250859160622e-20,3.727127226340044723e-39,1.424981215079078338e-19,2.030571463328246419e-38,-3.354990439015169637e-19,1.125596084588320049e-37
-3.724000000000000199e+00,8.270187678348802365e+02,1.542285081373857131e-20,2.378643272228365208e-40,-8.345351984340694512e-21,6.964489974253917186e-41,-3.314834803495556492e-20,1.098812977446542412e-39,7.186646610461887392e-20,5.164788950366333720e-39,1.676840354040289100e-19,2.811793572937961877e-38,-3.946379231515534113e-19,1.557390903893713810e-37
